"title","gmd_name","edition","isbn_issn","publisher_name","publish_year","collation","series_title","call_number","language_name","place_name","classification","notes","image","sor","authors","topics","item_code"
"A Modern Introduction To Food Microbiology","Text","Vol.8","0-632-00165-8","Oxford University Press","1983","236hlm; 23.5x15.5cm","","579.16 BOA a","English","Oxford","579.16 BOA a","","cover_a-modern-introduction-to-food-microbiology-20250923151915.jpg","","<Board>","","<0673/22>"
"Pengantar Studi Etika","Text","Ed. 1","979-769-047-4","PT Raja Grafindo Persada","2006","xiv, 704 hlm.; 13.3 x 21 cm","","170  ABD p","Indonesia","Jakarta","170  ABD p","","cover_pengantar-studi-etika-20250923151544.jpeg","","<Abdullah, M. Yatimin.>","","<2052/22>"
"Menolak Hukuman Mati Perspektif Intelektual Muda","Text","Cet. 5","978-979-21-4462-8","Kanisius","2015","221 hlm: 13x19,5cm","","345 KUS m","Indonesia","Yogyakarta","345 KUS m","","cover_menolak-hukuman-mati-perspektif-intelektual-muda-20240307112210.jpg","","<Suseno, Magnis>","","<9133/22><9134/22>"
"Pengantar Ke Dalam Perjanjian Lama","Text","cet.15","978-979-413-721-5","PT Kanisius","2022","318hlm; 21x15cm","","221 GRO p","Indonesia","Yogyakarta","221 GRO p","","cover_pengantar-ke-dalam-perjanjian-lama-20240130082336.jpg","","<De. C. Groenen OFM>","","<0062/24><0193/25>"
"Kuasa Dan Moral","Text","Cet. 5","979-403-018-x","PT Gramedia Pustaka Utama","2001","xii, 171 hlm. ; 13.6x20 cm.","","170 MAG k","Indonesia","Jakarta","170 MAG k","","cover_kuasa-dan-moral-20240321112508.jpeg","","<Magnis-Suseno, Franz>","","<2091/22><2092/22><2106/22>"
"Berfilsafat Dengan Anekdot; plato ngafe bareng singalaut","Text","","978-979-21-2712-6","Kanisius","2011","211hlm; 20x12.5cm","","100 CAT b","Indonesia","Yogyakarta","100 CAT b","","cover_berfilsafat-dengan-anekdot-plato-ngafe-bareng-singalaut-20250923145844.jpg","","<Cathcart, Thomas><Klevin, Daniel>","","<0192/25>"
"Dari Mao ke Marcuse; percikan filsafat marxis pasca -Lenin","Text","Cet. 3","978-602=-03-3458-5","PT Gramedia Pustaka Utama","2013","387hlm; 20x13.5cm","","142 MAG d","Indonesia","Jakarta","142 MAG d","","cover_dari-mao-ke-marcuse-percikan-filsafat-marxis-pasca-lenin-20240813154123.jpg","","<Magnis, Franz><Suseno>","","<0065/22><0975/22><1458/22><0191/25>"
"Pengantar Teologi","Text","cet,3","978-979-413-505-1","Kanisius","1991","206hlm; 21x14.5cm","","230 DIS p","Indonesia","Yogyakarta","230 DIS p","","cover_pengantar-teologi-20231116100214.jpg","","<Dister, Nico Syukur.>","","<0142/22><0434/23><3009/23><0190/25>"
"Hermeneutik; sebuah metode filsafat","Text","Cet. 17","979-413-974-2","Kanisius","1993","150 hlm.; 14.7 x 20.4 cm","","121 SUM h","Indonesia","Yogyakarta","121 SUM h","","cover_hermeneutik-sebuah-metode-filsafat-20240403125751.jpg","","<E. Sumaryono>","","<1568/22><1575/22><2337/22><3336/23><0607/24><0189/25>"
"Quantum Healing; penyembuhan quantum","Text","","979-9481-18-X","Nuansa","2002","303hlm; 23.5x15.5cm","","615.85 CHO q","Indonesia","Bandung","615.85 CHO q","","cover_quantum-healing-penyembuhan-quantum-20250923144348.jpg","","<Chopra, Deepak>","","<3353/22>"
"Etika Profesi Dan Pastoral Profesi","Text","Cet. 3","","Kelompok kerja Awamisasi","1987","34 hlm.; 13.9 x 21 cm","","174.2 PIE e","Indonesia","Keuskupan Malang","174.2 PIE e","","cover_etika-profesi-dan-pastoral-profesi-20240925115239.jpeg","","<Piet Go>","","<2153/22><2154/22><2169/22><2170/22><2171/22><2172/22>"
"Schizophrenia; sebuah panduan bagi keluarga penderita Skizofrenia","Text","","979-9440-111-4","Dozz","2005","165hlm; 19.5x12cm","","616.89 SCH s","Indonesia","Yogyakarta","616.89 SCH s","","cover_schizophrenia-sebuah-panduan-bagi-keluarga-penderita-skizofrenia-20250923144025.jpg","","","","<3245/22>"
"Terapi Auto Urin; tanya jawab dan pengalaman para pengguna air seni sendiri","Text","","979-686-801-6","PT Gramedia Pustaka Utama","2002","240hlm; 20x13.5cm","","615.85 BUD t","Indonesia","Jakarta","615.85 BUD t","","cover_terapi-auto-urin-tanya-jawab-dan-pengalaman-para-pengguna-air-seni-se-20250923143535.jpg","","<Budiarso, Iwan>","","<3324/22>"
"Oscar Romero dan Dorothy Day; berjalan bersama kaum miskin","Text","Cet. 5","978-979-21-0197-3","Kanisius","2008","130hlm; 20.5x14cm","","270.092 DEN o","Indonesia","Yogyakarta","270.092 DEN o","","cover_oscar-romero-dan-dorothy-day-berjalan-bersama-kaum-miskin-20250430132328.jpg","","<Dennis, Marie, Adele>","","<1548/23>"
"Tantangan Membina Kepribadian; pedoman untuk mengenal dan membina diri","Text","Cet. 13","","Kanisius","1978","191 hlm, :Il, 13.5 x 18.4 cm","","158 TAN t","Indonesia","Yogyakarta","158 TAN t","","cover_tantangan-membina-kepribadian-pedoman-untuk-mengenal-dan-membina-diri-20240919155733.jpg","","<Carakam cipta, loka>","","<3400/22><3427/22><2736/23><3240/23>"
"Membongkar Gurita Cikeas; dibalik skandal bank century","Text","Cet. 1","978-602-8174-35-0","GalangPress","2010","183 hlm. : il. ; 23 cm.","","364.132 ADI m","Indonesia","Yogyakarta.","364.132 ADI m","","cover_membongkar-gurita-cikeas-dibalik-skandal-bank-century-20250923135606.jpg","","<Aditjondro, George, Junus>","","<1885/23><1886/23>"
"Terapi Lewat Suara; bagaimana menggunakan kekuatan penyembuhan lewat suara manusia","Text","","979-9433-13-4","Prestasi Pustaka","2001","218hlm; 20.5x14cm","","615.85 ROD t","Indonesia","Jakarta","615.85 ROD t","","cover_terapi-lewat-suara-bagaimana-menggunakan-kekuatan-penyembuhan-lewat-s-20250923124742.jpg","","<Rodan, Shirrlie,>","","<3347/22>"
"Penyembuhan Yang Mengutuhkan; dimensi yang terabaikan dalam pelayanan medis","Text","","979-21-0780-0","Kanisius","2003","144hlm; 20.5x14.5cm","","234.16 JAK p","Indonesia","Yogyakarta","234.16 JAK p","","cover_penyembuhan-yang-mengutuhkan-dimensi-yang-terabaikan-dalam-pelayanan-20250923124130.jpeg","","<Jakob, Beate>","","<3345/22>"
"Sinyal-Sinyal Bahaya Tubuh Anda Body Signs; dari ujung rambut hingga ujung kaki","Text","","979-1238-68-7","Ufuk Press","2008","352hlm; 23x15cm","","616.2 LIE s","Indonesia","Jakarta","616.2 LIE s","","cover_sinyal-sinyal-bahaya-tubuh-anda-body-signs-dari-ujung-rambut-hingga-u-20250922155722.jpg","","<Smith, joan, Liebmann>","","<3319/22>"
"Skin Care Secrets; how to have naturally healthy beautiful skin","Text","","978-1-55407-608-6","firefly books","2010","192hlm; 25.5x20.5cm","","646.726 EAR s","English","Ontario","646.726 EAR s","","cover_skin-care-secrets-how-to-have-naturally-healthy-beautiful-skin-20250922155210.jpg","","<Earle,Liz>","","<0675/22>"
"Dokter; citra, peran, dan fungsi tinjauan fenomena sosial","Text","Cet. 1","","Kanisius","1989","118hlm.; 14.7 x 21 cm","","610.6 LUM d","Indonesia","Yogyakarta","610.6 LUM d","","cover_dokter-citra-peran-dan-fungsi-tinjauan-fenomena-sosial-20250922155108.jpg","","<lumenta, Benyamin>","","<3344/22>"
"A Brief History Of Creation","Text","","978-0-393-35319-8","Norton & Company, Inc.","1923","311hlm; 21x14cm","","573.8 MES a","English","New York","573.8 MES a","","cover_a-brief-history-of-creation-20250922154841.jpg","","<Mesler, Bill>","","<3078/23>"
"Buku Pintar Kesehatan; Kolesterol, Diabetes Mellitus, Dan asam urat","Text","Cet. 1","978-97-3549-54-5","Kawan Kita","2010","165 hlm, :Il, 11.7 x 17 cm","","613 DEW b","Indonesia","Klaten","613 DEW b","","cover_buku-pintar-kesehatan-kolesterol-diabetes-mellitus-dan-asam-urat-20250922154156.jpeg","","<Dewanti, Sri>","","<6227/22>"
"Mazmur Dalam Ibadat Harian; pedoman praktis untuk menghayati mazmur dalam ibadat harian","Text","cet,5","979-413-564-X","Kanisius","1991","215 hlm. :Il., 21 cm","","264.028 WEI m","Indonesia","Yogyakarta","264.028 WEI m","","cover_mazmur-dalam-ibadat-harian-pedoman-praktis-untuk-menghayati-mazmur-da-20231115142647.jpg","","<Weiden, Wim van der.>","","<0153/22><5093/22><0057/23>"
"Penyakit Jantung; buku pintar kesehatan","Text","","979-431-116-2","Arcan","1995","138hlm; 19x12.5cm","","616.12 PET p","Indonesia","Jakarta","616.12 PET p","","cover_penyakit-jantung-buku-pintar-kesehatan-20250922154029.jpg","","<Petch, Michael>","","<3364/22>"
"Terapi Bawang Putih; hidup secara alami","Text","","979-24-1062-7","Prestasi Pustaka","2006","243hlm; 20.5x14cm","","615.321 LIU t","Indonesia","Jakarta","615.321 LIU t","","cover_terapi-bawang-putih-hidup-secara-alami-20240123085325.jpg","","<Ziu, Benedict>","","<3339/22>"
"Makna cinta; menjadi Autentik dengan mencintai tanpa syarat menurut Soren Kierkegaard","Text","Cet. 5","978-979-21-4915-9","Kanisius","2016","247 hlm.; 15.3x23 cm","","142.7 YES m","Indonesia","Yogyakarta","142.7 YES m","","cover_makna-cinta-menjadi-autentik-dengan-mencintai-tanpa-syarat-menurut-so-20240917145434.jpg","","<Mokorowu, Yanny Yeski>","","<1669/22><1678/22>"
"Manusia Indonesia; (sebuah pertanggungjawaban)","Text","Ed. 1","978-979-461-346-7","Yayasan Obor Indonesia","2001","viii, 140 hlm.; 14.4 x 21 cm","","320.54 LUB m","Indonesia","Jakarta","320.54 LUB m","","cover_manusia-indonesia-sebuah-pertanggungjawaban-20250922153026.jpeg","","<Lubis, mochtar>","","<0188/25>"
"Normal; mengenal perilaku abnormal","Text","","979-497-594-X","Kanisius","1995","108hlm; 21x14.5cm","","616.89 SUP n","Indonesia","Yogyakarta","616.89 SUP n","","cover_normal-mengenal-perilaku-abnormal-20250922152908.jpg","","<A. Supratiknya.>","","<3209/22>"
"Matinya Ilmu Ekonomi; menurut Paul Ormerod (the death of Economics)","Text","","979-9023-9-2","Kepustakaan Populer Gramedia","1998","185hlm; 21x14cm","","330 ORM m","Indonesia","Jakarta","330 ORM m","","cover_matinya-ilmu-ekonomi-the-death-of-economics-menurut-paul-ormerod-20240823125042.jpg","","<Ormerod, Paul>","","<0524/24>"
"13 Reason Why","Text","Cet. 2","978-602-6682-24-6","Penerbit Spring","2019","323 hlm, :Il, 14 x 20 cm","","813 ASH r","Indonesia","Ponorogo","813 ASH r","","cover_13-reason-why-20250922152340.jpeg","","<Asher, Jay>","","<0187/25>"
"Wealth Of Nations","Text","","978-1-84022-688-1","Wordsworth Classics Of World Literature","1987","974hlm; 19.5x12.5cm","","330.15 SMI w","English","","330.15 SMI w","","cover_wealth-of-nations-20250922152037.jpg","","<Smith, Adam>","","<2365/22>"
"Mendisiplinkan Anak Dengan Kasih Sayang","Text","","979-415-970-0","PT BPK Gunung Mulia.","1996","392hlm; 20x13cm","","649.64 DOD m","Indonesia","Jakarta","649.64 DOD m","","cover_mendisiplinkan-anak-dengan-kasih-sayang-20250922151722.jpg","","<Dodson, Fitzhugh.>","","<6316/22>"
"Tata Bahasa Indonesia; untuk sekolah lanjutan atas","Text","","","Nusa Indah","1982","194hlm; 21x14.5cm","","411 KER t","Indonesia","Ende-Flores","411 KER t","","cover_tata-bahasa-indonesia-untuk-sekolah-lanjutan-atas-20250922151328.jpg","","<Keraf, Gorys>","","<1466/23>"
"Filsafat Barat Dalam Abad XX","Text","JILID 1","","Gramedia","1981","243 hlm, :Il, 13.8 x 20.5 cm","","190 BER f","Indonesia","Jakarta","190 BER f","","cover_filsafat-barat-dalam-abad-xx-20250922151009.jpeg","","<K. Bertens>","","<0186/25>"
"Filsafat Ekonomi; upaya mencari kesejahteraan bersama","Text","","978-979-21-1895-7","Kanisius","2008","150hlm; 22.5x15.5cm","","330.01 DUA f","Indonesia","Yogyakarta","330.01 DUA f","","cover_filsafat-ekonomi-upaya-mencari-kesejahteraan-bersama-20250922123320.jpg","","<Dua, Mikhael.>","","<3141/22><3143/22>"
"Langkah-Langkah Berhasil Menguasai Waktu & Hidup","Text","","","Pustaka Tangga","1992","250hlm; 20x13cm","","640.4 LAK l","Indonesia","Jakarta","640.4 LAK l","","cover_langkah-langkah-berhasil-menguasai-waktu-hidup-20250922150812.jpg","","<Lakein, Alan>","","<0596/24>"
"The Secret","Text","Cet. 32","978-979-22-3155-7","PT. Gramedia Pustaka Utama","2020","iv, 236 hlm, :Il, 13.5 x 17 cm","","158.1 BYR t","Indonesia","Jakarta","158.1 BYR t","","cover_the-secret-20250922150522.jpeg","","<Byrne, Rhonda>","","<0185/25>"
"100 Questions & Answer; hepatitis","Text","","978-979-2543-27-9","kompas gramedia","2011","186hlm; 21x14cm","","616.36 WAL q","Indonesia","Jakarta","616.36 WAL q","","cover_100-questions-answer-hepatitis-20250922150356.jpg","","<Waluyo, Srikandi>","","<3322/22>"
"Pasar Bebas Keadilan Dan Peran Pemerintah; telaah atas etika politik ekonomi Adam Smith","Text","","979-497-677-6","Kanisius","1996","311hlm; 21x14.5cm","","174.4 KER p","Indonesia","Yogyakarta","174.4 KER p","","cover_pasar-bebas-keadilan-dan-peran-pemerintah-telaah-atas-etika-politik-e-20250922145453.jpg","","<Keraf, A. Sonny.>","","<0329/22><1302/22><0517/24>"
"Cinta Kasih; jurus jitu mendidik anak: pengalaman 36 Tahun","Text","","979-416-944-7","Pustaka Sinar Harapan","2011","306hlm; 23x15cm","","649.1 DAR c","Indonesia","Jakarta","649.1 DAR c","","cover_cinta-kasih-jurus-jitu-mendidik-anak-pengalaman-36-tahun-20250922144851.jpg","","<Darmawan, Hardi><Hardi, Indrawati>","","<6281/22>"
"Pengantar Kitab-Kitab Hikmat","Text","","978-979-21-5562-4","PT Kanisius","2018","184hlm; 21x14cm","","226.07 MAR p","Indonesia","Yogyakarta","226.07 MAR p","","cover_pengantar-kitab-kitab-hikmat-20240305094340.jpg","","<Marsunu, Seto>","","<4182/22><4197/22><6077/22>"
"Eksorsisme; misteri kematian Anneliese michel","Text","","978-979-21-2703-4","Kanisius","2010","421hlm; 18.5x12cm","","265.94 GOO e","Indonesia","Yogyakarta","265.94 GOO e","","cover_eksorsisme-misteri-kematian-anneliese-michel-20250922144433.jpg","","<Goodman, Felicitas>","","<0184/25>"
"Belajar Bahasa Yunani Koine; Panduan memahami dan menerjemahkan teks perjanjian baru","Text","Cet. 1","9780979-687-844-4","PT BPK Gunung Mulia.","2011","xxxii, 485 hlm.; `15x24 cm","","485 SCH b","Indonesia","Jakarta","485 SCH b","","cover_belajar-bahasa-yunani-koine-panduan-memahami-dan-menerjemahkan-teks-p-20250919131105.jpeg","","<Schafer, Ruth.>","","<0232/22><0452/22><0453/22><0454/22><4338/22><4339/22><4340/22><5252/22><5253/22><5582/22><0109/23><2636/23>"
"Sejarah Filsafat Barat; kaitannya dengan kondisi sosio-politik dari zaman kuno hingga sekarang","Text","","979-3237-34-1","Pustaka Pelajar","2002","1110hlm; 24x16cm","","R 190 RUS s","Indonesia","Yogyakarta","R 190 RUS s","","cover_sejarah-filsafat-barat-dan-kaitannya-dengan-kondisi-sosio-politik-dar-20240404125124.jpeg","","<Russell, Bentrand>","","<0286/22><4031/22><0435/24><0468/24><0183/25>"
"Pengantar Teori-Teori Sosial","Text","Ed. 2","978-979-461-998-8","Yayasan Pustaka Obor Indonesia","2011","x, 350 hlm.; 15.5 x 23 cm","","300.1 JON p","Indonesia","Jakarta","300.1 JON p","","cover_pengantar-teori-teori-sosial-20250922135110.jpeg","","<Jones, Pip>","","<0182/25>"
"Warta Nabi Abad VIII","Text","Cet. 1","979-413-470-8","Kanisius","1990","132 hlm.; 14.7 x 21 cm","","224 DAR w","Indonesia","Yogyakarta","224 DAR w","","cover_warta-nabi-abad-viii-20250922135717.jpg","","<Darmawijaya>","","<3773/22><4228/22><4229/22>"
"Filsafat Santo Thomas Aquinas","Text","Cet. 1","978-623-305-207-8","Basabasi","2021","iv, 300 hlm.; 12x19 cm","","180.2 COP f","Indonesia","Yogyakarta","180.2 COP f","","cover_filsafat-santo-thomas-aquinas-20250922134536.jpg","","<Copleston, Frederick C.>","","<5250/22>"
"Injil Dan Surat-Surat Yohanes","Text","","","Kanisius","1989","","","227 LBI i","Indonesia","Yogyakarta","227 LBI i","","cover_injil-dan-surat-surat-yohanes-20241022082835.jpg","","<Lembaga Biblika Indonesia>","","<3907/22><5073/22>"
"Perempuan Yang Dihapus Namanya","Text","Cet. 1","978-602-0337-135","PT Gramedia Pustaka Utama","2017","80hlm, :Il, 13 x 21 cm","","811 ARM p","Indonesia","Jakarta","811 ARM p","","cover_perempuan-yang-dihapus-namanya-20250922132104.jpeg","","<Armand, Avianti>","","<2787/23>"
"Darwin On Evolution; words of wisdom from the father of evolution","Text","","978-1-63220-890-3","sky horse","2015","18.5X12cm","","576.82 DAR o","English","New York","576.82 DAR o","","cover_darwin-on-evolution-words-of-wisdom-from-the-father-of-evolution-20250922132048.jpg","","<Darwin, Charles>","","<0126/22>"
"The Selfish Gene; gen egois","Text","","978-602-424-728-7","KPG (Kepustakaan Populer Gramedia)","2017","402hlm; 23x15cm","","576.5 DAR t","Indonesia","Jakarta","576.5 DAR t","","cover_the-selfish-gene-gen-egois-20250922131020.jpg","","<Dawkins, Richard>","","<2526/22>"
"Christian Philosophy","Text","","971-554-055-4","Sinag-Tala Publisher","1980","","","190 TOR c","English","Manila.","190 TOR c","","cover_christian-philosophy-20241001153431.jpg","","<de Torre, Joseph M>","","<1208/22><1209/22><1210/22><0181/25>"
"The General Theory; of employment Interest and money","Text","","0-15-634711-3","A Harvest Book","1991","403hlm; 20.5x13.5cm","","330 MAY t","English","New York","330 MAY t","","cover_the-general-theory-of-employment-interest-and-money-20250922130413.jpg","","<Maynard Keynes, John>","","<3181/22>"
"Karol Wojtyla's (Pope John Paul II) Theory Of Participations Based On His Christian Personalism","Text","Cet. 1","","St Paul","1995","120 hlm.; 13.9 x 21 cm","","230.1 FRA k","Indonesia","Manila.","230.1 FRA k","","cover_karol-wojtyla-s-pope-john-paul-ii-theory-of-participations-based-on-20250922130151.jpeg","","<Francisco, Rolyn>","","<0180/25>"
"Krisis Finansial; dalam perangkap ekonomi neoliberal","Text","","978-979-709-446-1","Kompas","2009","250hlm; 21x14cm","","330 PRA k","Indonesia","Jakarta","330 PRA k","","cover_krisis-finansial-dalam-perangkap-ekonomi-neoliberal-20250922125819.jpg","","<Prasetyantoko>","","<0647/22>"
"The Limits To Growth","Text","Cet. 2","","New American Library","1972","207 hlm.; 10.5 X 17.7 cm","","338.92 DON t","Indonesia","New York","338.92 DON t","","cover_the-limits-to-growth-20240822130124.jpg","","<Meadows, Donnella>","","<6610/22><6721/22>"
"8 Dilema Moral Zaman Ini; dipihak manakah Anda?","Text","Cet. 5","979-21-1390-8","Kanisius","2006","144hlm.; 14,5x21cm","","241 HIG d","Indonesia","Yogyakarta","241 HIG d","","cover_8-dilema-moral-zaman-ini-dipihak-manakah-anda-20241115084256.jpg","","<Higgins, Gregory C.>","","<0033/21><8786/22>"
"Uang Menghasilkan Uang; 52 gagasan cemerlang","Text","","978-979-21-3553-4","Kanisius","2013","159hlm; 20x13.5cm","","330.153 MCC u","Indonesia","Yogyakarta","330.153 MCC u","","cover_uang-menghasilkan-uang-52-gagasan-cemerlang-20250922124827.jpg","","<Smith, Adam>","","<0331/22><1304/22>"
"Filsafat Agama Kristiani","Text","Cet. 2","","Kanisius","1985","192hlm.; 15x21cm","","201 DIS f","Indonesia","Yogyakarta","201 DIS f","","cover_filsafat-agama-kristiani-20240229085451.jpg","","<Dister, Nico Syukur.>","","<1232/22><1233/22><1246/22><1247/22>"
"Musim Semi; perekonomian Indonesia","Text","","979-22-1251-5","PT Gramedia Pustaka Utama","2005","220hlm; 23x15cm","","330.95 HAR m","Indonesia","Jakarta","330.95 HAR m","","cover_musim-semi-perekonomian-indonesia-20250922123900.jpg","","<Harinowo, Cyrillus>","","<3159/22>"
"Keprihatinan Moral","Text","Cet. 5","979-21-0715-0","Kanisius","2003","147 hlm.; 15.8 x 22.3 cm","","170 BER k","Indonesia","Yogyakarta","170 BER k","","cover_keprihatinan-moral-20250922123737.jpeg","","<Bertens,>","","<2115/22>"
"Saving Your Marriage Before It Starts","Text","","0-310-49240-8","Christian Literature Crusade","1995","158hlm; 23x15cm","","646.78 PAR s","Indonesia","Philippines","646.78 PAR s","","cover_saving-your-marriage-before-it-starts-20240719084130.jpeg","","<Parrott III, Les>","","<5885/22>"
"Allah Menggugat Allah Menyembuhkan","Text","Cet. 1","979-9447-29-1","Ledalero","2012","410 hlm, :Il, 15.5 x 24 cm","","230 KLE a","Indonesia","Maumere","230 KLE a","","cover_allah-menggugat-allah-menyembuhkan-20250922091319.jpeg","","<Keleden, Paulus, Budi>","","<0178/25>"
"Wiwara; pengantar bahasa dan kebudayaan jawa","Text","","979-686-424-X","PT Gramedia Pustaka Utama","2001","199hlm; 24x17.5cm","","449.2 KRI w","Indonesia","Jakarta","449.2 KRI w","","cover_wiwara-pengantar-bahasa-dan-kebudayaan-jawa-20250922090947.jpg","","<Kridalaksana, Harimurti>","","<3100/22>"
"Bersama Maria Dan Putra-Nya Dalam Doa Senakel; Sebuah refleksi atas pesan-pesan bunda Surgawi","Text","","978-979-3725-49-9","Karmelindo","2014","196hlm; 18x13cm","","242 ARI b","Indonesia","Malang","242 ARI b","","cover_bersama-maria-dan-putra-nya-dalam-doa-senakel-sebuah-refleksi-atas-pe-20250922090709.jpg","","<Ari Pawarto, Atanasius, O.Carm>","","<6866/22><2766/23><0179/25>"
"Mutiara Yang Terlupakan; pengantar studi sastra lisan","Text","","","Himpunan Sarjana Kesustraan Indonesia","1991","123hlm; 21x14cm","","401.4 SAD m","Indonesia","Jawa Timur","401.4 SAD m","","cover_mutiara-yang-terlupakan-pengantar-studi-sastra-lisan-20250922090003.jpg","","<Sadi Hutomo, Suripan>","","<2226/22>"
"The Essential Mary Handbook: buku pegangan pokok dan lengkap tentang Maria","Text","Cet. 1","978-979-565-596-1","OBOR","2011","viii, 324hlm.; 11x17,5cm","","232.91 BAU t","Indonesia","Jakarta","232.91 BAU t","","cover_the-essential-mary-handbook-buku-pegangan-pokok-dan-lengkap-tentang-m-20250922085930.jpeg","","<Baurer, Judith>","","<0177/25>"
"Doa-Doa Pokok Dalam 4 Bahasa","Text","Cet. 5","978-979-21-5870-0","Kanisius","2019","47 hlm.; 8.5 x 14 cm","","264 KRI d","Indonesia","Yogyakarta","264 KRI d","","cover_doa-doa-pokok-dalam-4-bahasa-20250922085148.jpeg","","<Kristanto, Joseph>","","<0176/25>"
"Daya Kekuatan Simbol The Power Of Symbols","Text","","979-21-0211-6","Kanisius","2006","236hlm; 22.5x15cm","","133 DIL d","Indonesia","Yogyakarta","133 DIL d","","cover_daya-kekuatan-simbol-the-power-of-symbols-20250922085125.jpg","","<F.W. Dillistone>","","<0892/22>"
"Al-Quran","Text","","","Lautan Lestari","","","","R 297.122 AL","Indonesia","Jakarta.","R 297.122 AL","","cover_al-quran-20250922084543.jpg","","<Allah SWT>","","<0209/22>"
"Ayah Mengapa Aku Berbeda?","Text","Ed. 1","978-979-18346-7-4","Intibook Publishing","2011","230 hlm, :Il, 12.9 x 19 cm","","410 DAV a","Indonesia","Jakarta","410 DAV a","","cover_ayah-mengapa-aku-berbeda-20250922084159.jpeg","","<Davonar, Agnes>","","<0156/23>"
"Semantics 1","Text","Volume I","0-521-29165-8","Cambridge University Press","1991","371hlm; 22.5x15cm","","412 LYO s","Indonesia","New York","412 LYO s","","cover_semantics-1-20250922084135.png","","<Lyons, John>","","<2242/22>"
"Semantics 2","Text","Vol.2","0-521-29186-0","Cambridge University Press","1990","897hlm; 23x15cm","","412 LYO s","English","New York","412 LYO s","","cover_semantics-2-20250922083758.jpg","","<Lyons, John>","","<2234/22>"
"Pengantar Ke Dalam Kitab Suci","Text","Cet. 7","978-979-21-4539-7","Kanisius","2016","229 hlm, :Il, 15.4 X 23 cm","","220.601 RIY p","Indonesia","Yogyakarta","220.601 RIY p","","cover_pengantar-ke-dalam-kitab-suci-20240304085610.jpg","","<Riyadi, Eko.>","","<0739/22>"
"Analisis Bahasa","Text","CET4","55-01-001-1","Erlangga","1994","415hlm; 21x14.5cm","","460 SAM a","Indonesia","Jakarta","460 SAM a","","cover_analisis-bahasa-20250922083212.jpg","","<Samsuri>","","<2796/23>"
"Petualangan intelektual; konfrontasi dengan para filsuf dari zaman Yunani hingga zaman modern","Text","","978-979-21-0460-8","Kanisius","2004","358 hlm. il; 22 cm.","","100 TJA p","Indonesia","Yogyakarta","100 TJA p","","cover_petualangan-intelektual-konfrontasi-dengan-para-filsuf-dari-zaman-yun-20240318082423.jpeg","","<Tjahjadi, Simon Petrus L.>","","<0036/22><0062/22><0180/22><0273/22><0274/22><3335/23><0265/24><0439/24><0175/25>"
"Elementa Linguae Latinae; (revisa) liber secundus","Text","Cet. 6","978-979-21-6188-5","Kanisius","2019","xii, 228 p. : il. ; 14.5 x 21 cm","","470 WAN e","Indonesia","Yogyakarta","470 WAN e","","cover_elementa-linguae-latinae-revisa-liber-secundus-20240823103547.jpg","","<J. Wanamaya><K. Bramantaya><smit Alb>","","<0024/21><0953/22><4394/22><0510/24>"
"Elementa Linguae Latine; Revisa liber primus","Text","Cet. 5","978-979-21-6208-0","Kanisius.","2019","","","470 WAN e","Indonesia","Yogyakarta","470 WAN e","","cover_elementa-linguae-latine-revisa-liber-primus-20250919123957.jpeg","","<J. Wanamaya><K. Bramantaya><smit Alb>","","<0025/21><4393/22>"
"Elementa Linguae Latinae (Revisa) Liber Tertius","Text","Cet. 5","978-979-21-5100-8","Kanisius","2017","vi, 248hlm.; 15x21cm","","470 WAN e","Indonesia","Yogyakarta","470 WAN e","","cover_elementa-linguae-latinae-revisa-liber-tertius-20250919131951.jpeg","","<J. Wanamaya>","","<4395/22><4396/22>"
"Dipanggil Untuk Mencinta; Memoar Uskup Surabaya Mgr. Agustinus Tri Budi Utomo","Text","Cet. 1","978-602-66-8168-9","Gramedia","2025","xxi,  220 hlm, :Il, 21 cm","","922.1 RUR d","Indonesia","Jakarta","922.1 RUR d","","cover_dipanggil-untuk-mencinta-memoar-uskup-surabaya-mgr-agustinus-tri-bud-20250624153342.jpg","","<Rurit, Bernada>","","<0117/25><0174/25>"
"Pijar-Pijar Filsafat; Dari Gatholoco Ke Filsafat Perempuan, dari Adam Muller ke Postmodernisme","Text","Cet. 7","979-21-0331-7","Kanisius","2005","301hlm: 15,5x22,5cm","","100 SUS p","Indonesia","Yogyakarta","100 SUS p","","cover_pijar-pijar-filsafat-dari-gatholoco-ke-filsafat-perempuan-dari-adam-20250919104942.jpeg","","<Magnis-Suseno, Franz>","","<4678/22><0173/25>"
"Tafsiran Alkitab Masa Kini 1: Kejadian-Ester","Text","","","Inter Varsty Press","1976","686 hlm.; 15.3 x 23 cm","","R 220.707 GUT t","Indonesia","","R 220.707 GUT t","","cover_tafsiran-alkitab-masa-kini-1-kejadian-ester-20250626121335.jpg","","","","<1072/22><4072/22><4073/22>"
"The Montessori Toddler","Text","","978-602-291-640-6","Bentang Pustaka","2022","vi, 334 hlm.; 13.9x20.8 cm","","371.392 DAV t","Indonesia","Yogyakarta","371.392 DAV t","","cover_the-montessori-toddler-20250919104200.jpeg","Cet. 7","<Davies, Simone>","","<6350/22>"
